"","Var1","Var2","bicor","pval","obs","sig"
"190","DBP","ME9",-0.115245743538224,0.450936834961955,45,""
"191","Resting_HR","ME9",-0.0459069428672181,0.764600396069894,45,""
"192","Max_HR","ME9",-0.120668060292803,0.429773735731069,45,""
"193","VO2peak","ME9",0.095738688660002,0.531576225610618,45,""
"194","VO2peak_kg_min","ME9",0.303149032677512,0.0429422954797395,45,"*"
"195","VO2peak_kgLM_min","ME9",0.143473846430565,0.347091912670258,45,""
"196","RMR","ME9",-0.0208571429448311,0.893100305151014,44,""
"197","Fat_OX","ME9",-0.0857215684538717,0.580083189287493,44,""
"198","CHO_OX","ME9",0.0852172387272791,0.582321966208649,44,""
"199","HOMA_IR","ME9",-0.0815243269898638,0.594462828462236,45,""
"200","Adipo_IR","ME9",-0.0242851236479175,0.874182184947374,45,""
"201","Glucose","ME9",-0.30498828960491,0.0416329005943656,45,"*"
"202","Insulin","ME9",-0.0452555650187979,0.767847271308535,45,""
"203","NEFA","ME9",-0.0676807228275479,0.658672194147733,45,""
"204","Glycerol","ME9",0.0171494410853936,0.910971851886063,45,""
"205","Triglyceride","ME9",-0.23641419946968,0.122335916201886,44,""
"206","Lactate","ME9",-0.12843768356825,0.400442328277163,45,""
"207","Cortisol","ME9",-0.246165714761277,0.107230523102324,44,""
"208","IFNg","ME9",0.0927712638718207,0.544431370153426,45,""
"209","IL10","ME9",-0.00322395739184339,0.983630173809855,43,""
"210","IL1b","ME9",-0.0178839385728334,0.907175143073296,45,""
"211","IL6","ME9",0.0864035818590927,0.611112432708893,37,""
"212","TNFa","ME9",0.244786027334871,0.105097285230245,45,""
